date,avgTemp,avgPrcp
2013-04-30,62.67800000000001,0.4113496655172414
2013-05-31,67.1232258064516,0.10922027741935483
2013-06-30,68.3,0.22703424333333333
2013-07-31,70.3167741935484,0.0
2013-08-31,70.43290322580647,0.0
2013-09-30,72.32600000000001,0.2230972333333333
2013-10-31,65.95032258064516,0.0
2013-11-30,62.612,0.38962823103448274
2013-12-31,57.07225806451613,0.24436613793103448
2014-01-31,59.615483870967736,0.03801251034482758
2014-02-28,58.980714285714285,3.8962338249999995
2014-03-31,62.04258064516129,1.0883927645161289
2014-04-30,63.67999999999999,0.9937556275862071
2014-05-31,68.92903225806451,0.0
2014-06-30,68.02999999999999,0.0
2014-07-31,72.97612903225807,0.0
2014-08-31,73.21419354838712,0.01651004193548387
2014-09-30,74.966,0.16404208333333334
2014-10-31,70.67677419354837,0.31623080322580643
2014-11-30,64.32199999999999,0.80708705
2014-12-31,58.70967741935483,3.8620798096774194
2015-01-31,59.41806451612903,0.00787402
2015-02-28,62.09214285714285,1.0061247777777778
2015-03-31,66.08387096774193,0.03302008387096774
2015-04-30,64.952,0.7859438481481481
2015-05-31,63.60451612903227,0.006561683333333333
2015-06-30,69.66800000000003,0.05837635517241379
2015-07-31,73.29548387096774,0.00393701
2015-08-31,75.63548387096775,0.0
2015-09-30,77.396,0.06652189310344826
2015-10-31,74.74129032258062,0.006561683333333333
2015-11-30,62.37200000000001,0.6076118766666667
2015-12-31,56.70645161290324,1.5639432827586204
2016-01-31,57.472903225806455,2.4104661225806443
2016-02-29,62.42620689655171,0.3176759793103448
2016-03-31,61.04967741935483,2.6962168483870963
2016-04-30,64.43000000000002,0.3448277724137931
2016-05-31,63.505806451612905,0.09779024838709677
2016-06-30,68.84599999999999,0.0
2016-07-31,73.03419354838711,0.0
2016-08-31,72.21548387096774,0.0
2016-09-30,71.85199999999999,0.0
2016-10-31,68.47032258064517,1.2851525499999998
2016-11-30,63.66199999999999,0.8548935999999999
2016-12-31,57.06645161290322,1.88189078
